status,grain,source,column,year,n_cells,value_min,value_max,runtime_s,out_path,reason
rendered,zip5,acs,bachelors_rate,2018,36682,0.0,83.19315833245882,11.41,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/bachelors_rate_2018.png,
rendered,zip5,acs,bachelors_rate,2019,36695,0.0,100.0,11.226,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/bachelors_rate_2019.png,
rendered,zip5,acs,median_gross_rent,2018,36560,249.53899728378835,3501.0000000000005,11.191,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/median_gross_rent_2018.png,
rendered,zip5,acs,median_gross_rent,2019,36566,246.27580773877074,3501.0,11.326,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/median_gross_rent_2019.png,
rendered,zip5,acs,median_hh_income,2018,36642,4425.0,250001.0,11.22,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/median_hh_income_2018.png,
rendered,zip5,acs,median_hh_income,2019,36678,6632.200459187904,250001.0,11.276,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/median_hh_income_2019.png,
rendered,zip5,acs,median_home_value,2018,36589,9999.0,2000001.0,11.187,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/median_home_value_2018.png,
rendered,zip5,acs,median_home_value,2019,36595,9999.0,2000001.0,11.226,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/median_home_value_2019.png,
rendered,zip5,acs,non_english_pct,2018,36682,0.0,97.92352765724624,11.079,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/non_english_pct_2018.png,
rendered,zip5,acs,non_english_pct,2019,36695,0.0,97.50093504118128,10.915,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/non_english_pct_2019.png,
rendered,zip5,acs,owner_occupied_pct,2018,36675,0.0,100.0,11.35,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/owner_occupied_pct_2018.png,
rendered,zip5,acs,owner_occupied_pct,2019,36687,0.0,100.0,11.225,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/owner_occupied_pct_2019.png,
rendered,zip5,acs,per_capita_income,2018,36653,1549.0,170000.3641445085,11.285,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/per_capita_income_2018.png,
rendered,zip5,acs,per_capita_income,2019,36692,1683.0,185250.0,11.377,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/per_capita_income_2019.png,
rendered,zip5,acs,poverty_rate,2018,36649,0.0,100.0,13.038,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/poverty_rate_2018.png,
rendered,zip5,acs,poverty_rate,2019,36688,0.0,100.0,13.109,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/poverty_rate_2019.png,
rendered,zip5,acs,total_population,2018,36687,0.0,104819.16036505885,13.117,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/total_population_2018.png,
rendered,zip5,acs,total_population,2019,38393,0.0,108739.99303117667,13.044,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/total_population_2019.png,
rendered,zip5,acs,uninsured_rate,2018,36676,0.0,60.53955243853809,13.019,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/uninsured_rate_2018.png,
rendered,zip5,acs,uninsured_rate,2019,36689,0.0,65.68476583809955,13.045,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/acs/uninsured_rate_2019.png,
rendered,zip5,aqs,aqs__o3_mean,2018,33221,0.02492920841434843,0.05847300018681443,11.735,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/aqs/o3_mean_2018.png,
rendered,zip5,aqs,aqs__o3_mean,2019,33220,0.02584393372360085,0.05814877231541562,11.772,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/aqs/o3_mean_2019.png,
rendered,zip5,aqs,aqs__pm25_mean,2018,33219,3.3002590192647827,17.442732532710245,11.516,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/aqs/pm25_mean_2018.png,
rendered,zip5,aqs,aqs__pm25_mean,2019,33221,1.1995873879795629,14.714363843774143,11.594,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/aqs/pm25_mean_2019.png,
rendered,zip5,landscan,landscan__pop_density,2018,38393,0.0,114944.07489930265,11.723,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/landscan/pop_density_2018.png,
rendered,zip5,landscan,landscan__pop_density,2019,38393,0.0,122645.91060958791,11.813,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/landscan/pop_density_2019.png,
rendered,zip5,landscan,landscan__pop_sum,2018,38393,0.0,149526.0,11.777,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/landscan/pop_sum_2018.png,
rendered,zip5,landscan,landscan__pop_sum,2019,38393,0.0,159545.0,11.93,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/landscan/pop_sum_2019.png,
rendered,zip5,nlcd,nlcd__crop_frac,2018,38393,0.0,97.99842526211097,9.921,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/nlcd/crop_frac_2018.png,
rendered,zip5,nlcd,nlcd__crop_frac,2019,38393,0.0,98.07088607594937,9.779,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/nlcd/crop_frac_2019.png,
rendered,zip5,nlcd,nlcd__developed_frac,2018,38393,0.03628394957965967,100.0,11.049,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/nlcd/developed_frac_2018.png,
